PMID;Title;Abstract;LCR;Function;Hard;Category
2188110;Sequence and functional analysis of the positively acting regulatory gene amdR from Aspergillus nidulans.;"The positively acting regulatory gene amdR of Aspergillus nidulans coordinately regulates the expression of five structural genes involved in the catabolism of certain amides (amdS), omega amino acids (gatA and gabA), and lactams (lamA and lamB) in the presence of omega amino acid inducers. Analysis of the amdR gene showed that it contains three small introns, heterogeneous 5' and 3' transcription sites, and multiple AUG codons prior to the major AUG initiator. The predicted amdR protein sequence has a cysteine-rich ""zinc finger"" DNA-binding motif at the amino-terminal end, four putative acidic transcription activation motifs in the carboxyl-terminal half, and two sequences homologous to the simian virus 40 large T antigen nuclear localization motif. These nuclear localization sequences overlap the cysteine-rich DNA-binding motif. A series of 5', 3', and internal deletions were examined in vivo for transcription activator function and showed that the amdR product contains at least two activation regions in the carboxyl-terminal half. Each of these activator amdR product contains at least two activation regions in the carboxyl-terminal half. Each of these activator regions may function independently, but both are required for wild-type levels of transcription activation. A number of the amdR deletion products were found to compete with the wild-type amdR product in vivo. Development of a rapid method for the localization of amdR mutations is presented, and using this technique, we localized and sequenced the mutation in the semiconstitutive amdR6c allele. The amdR6c missense mutation occurs in the middle of the gene, and it is suggested that it results in an altered protein which activates gene expression efficiently in the absence of an inducer. ";cysteine;zinc finger;-;LCR_with_function
2536162;Sequence recognition protein for the 17-base-pair A + T-rich tract in the replication origin of simian virus 40 DNA.;A DNA-binding protein has been identified that recognizes runs of deoxyadenines and/or deoxythymines (dA/dT sequences) and purified from a chromatographic fraction containing the multiprotein DNA polymerase alpha-primase complex of HeLa cells by successive steps of chromatography on oligo(dT)-cellulose and Q-Sepharose. Polyacrylamide gel electrophoresis of the purified dA/dT sequence-binding protein in the presence of NaDodSO4 showed a single protein band of 62 kDa. Nitrocellulose filter binding assays using homopolydeoxynucleotides indicated that the purified protein preferentially binds to dA/dT sequences in single-stranded or duplex DNAs. Gel mobility shift assays with a variety of DNAs showed that the purified protein specifically binds to a fragment of simian virus 40 DNA containing the minimal (core) origin for replication. The binding occurred in a protein-dependent manner and in the presence of a vast excess of competing DNAs lacking the simian virus replication origin. The origin binding was reduced, however, when DNA fragments from simian virus 40 deletion mutants containing deletions within the 17-base-pair A + T-rich tract in the core DNA replication origin were used in the assays. These results indicate that the dA/dT sequence-binding protein preferentially binds to the 17-base-pair A + T-rich tract and suggest a possible role for the protein in the initiation of DNA replication. ;threonine;nucleic acid binding;-;LCR_with_function
2759716;Dendritic cell accumulation in draining lymph nodes during the induction phase of contact allergy in mice.;Draining lymph node cells isolated from mice 24 h following topical exposure to a variety of contact-sensitizing chemicals, including the dinitrobenzene derivatives, 2,4-dinitrochlorobenzene and 2,4-dinitrothiocyanobenzene, contained increased numbers of dendritic cells (DCs). The increase in frequency of DCs was time-dependent and preceded significant changes in either lymph node cellularity or lymph node cell proliferative activity. The degree of DC accumulation was also influenced by the chemical used and the concentration employed for sensitization. In the context of contact allergy, the biological relevance of this phenomenon to the induction of hapten-specific responses is indicated by the fact that relatively small numbers of DC--enriched fractions of lymph node cells (comprising approximately 70% DCs), but not unfractionated or DC--depleted populations, transferred sensitization to naive animals. Moreover, using the skin-sensitizing fluorochrome, fluorescein isothiocyanate, it was observed that 24 h following exposure the majority of lymph node cells bearing high concentrations of antigen were within the DC-rich fraction.;cysteine;antigen;-;LCR_with_function
14734537;Atypical protein kinase C (PKCzeta/lambda) is a convergent downstream target of the insulin-stimulated phosphatidylinositol 3-kinase and TC10 signaling pathways.;Insulin stimulation of adipocytes resulted in the recruitment of atypical PKC (PKCzeta/lambda) to plasma membrane lipid raft microdomains. This redistribution of PKCzeta/lambda was prevented by Clostridium difficile toxin B and by cholesterol depletion, but was unaffected by inhibition of phosphatidylinositol (PI) 3-kinase activity. Expression of the constitutively active GTP-bound form of TC10 (TC10Q/75L), but not the inactive GDP-bound mutant (TC10/T31N), targeted PKCzeta/lambda to the plasma membrane through an indirect association with the Par6-Par3 protein complex. In parallel, insulin stimulation as well as TC10/Q75L resulted in the activation loop phosphorylation of PKCzeta. Although PI 3-kinase activation also resulted in PKCzeta/lambda phosphorylation, it was not recruited to the plasma membrane. Furthermore, insulin-induced GSK-3beta phosphorylation was mediated by both PI 3-kinase-PKB and the TC10-Par6-atypical PKC signaling pathways. Together, these data demonstrate that PKCzeta/lambda can serve as a convergent downstream target for both the PI 3-kinase and TC10 signaling pathways, but only the TC10 pathway induces a spatially restricted targeting to the plasma membrane.;-;kinase activity;-;hard_2
30071380;Dendritic cell-mediated delivery of doxorubicin-polyglycerol-nanodiamond composites elicits enhanced anti-cancer immune response in glioblastoma.;Glioblastoma (GBM) is the deadliest and most common type of primary brain tumor in adults with a grim prognosis despite multimodal treatments. Dendritic cell (DC)-based immunotherapy has emerged as a promising therapeutic modality for GBM, whose efficacy is nonetheless fundamentally undermined by GBM-induced immunosuppression. Inducing emission of damage associated molecular patterns (DAMPs) is a highly effective strategy to subvert tumor-associated immunosuppression. The present work was carried out to explore the idea of subverting the GBM immunosuppressive microenvironment through DC-mediated delivery of doxorubicin-polyglycerol-nanodiamond composites (Nano-DOX), a potent DAMPs inducer demonstrated by our previous study, and thereby eliciting enhanced DC-driven anti-GBM immune response. In the in-vitro work on human cell models, Nano-DOX-loaded DC were shown to be functionally viable and release cargo drug to co-cultured GBM cells (GC). Nano-DOX-treated GC displayed not only profuse DAMPs emission but also antigen release. Enhanced activation and acquisition and presentation of GC-derived antigen were then demonstrated in DC in co-culture with GC and Nano-DOX. Consistently, co-culture with GC and Nano-DOX also activated mouse bone marrow-derived DC (mDC) which in turn stimulated mouse spleen-derived lymphocytes which ultimately suppressed co-cultured GC. Next, athymic mice bearing orthotopic human GBM xenografts were intravenously injected with Nano-DOX-loaded mDC and, 48 h later, spleen-derived lymphocytes. The presence of Nano-DOX, DAMPs emission and enhanced infiltration and activation of mDC and lymphocytes were detected in the GBM xenografts. Taken together, our results demonstrate the efficacy of DC-mediated delivery of Nano-DOX to stimulate GC immunogenicity and elicit anti-cancer immune response in the GBM. By this work, we present a novel approach with great application potential to subverting the GBM immunosuppressive microenvironment and to anti-GBM immunotherapy. Investigation has also been conducted probing the mechanisms by which Nano-DOX stimulates GC immunogenicity, which is described in a follow-up paper.;-;antigen;-;hard_2
36265582;Accessing isotopically labeled proteins containing genetically encoded phosphoserine for NMR with optimized expression conditions.;Phosphoserine (pSer) sites are primarily located within disordered protein regions, making it difficult to experimentally ascertain their effects on protein structure and function. Therefore, the production of 15N- (and 13C)-labeled proteins with site-specifically encoded pSer for NMR studies is essential to uncover molecular mechanisms of protein regulation by phosphorylation. While genetic code expansion technologies for the translational installation of pSer in Escherichia coli are well established and offer a powerful strategy to produce site-specifically phosphorylated proteins, methodologies to adapt them to minimal or isotope-enriched media have not been described. This shortcoming exists because pSer genetic code expansion expression hosts require the genomic ΔserB mutation, which increases pSer bioavailability but also imposes serine auxotrophy, preventing growth in minimal media used for isotopic labeling of recombinant proteins. Here, by testing different media supplements, we restored normal BL21(DE3) ΔserB growth in labeling media but subsequently observed an increase of phosphatase activity and mis-incorporation not typically seen in standard rich media. After rounds of optimization and adaption of a high-density culture protocol, we were able to obtain ≥10 mg/L homogenously labeled, phosphorylated superfolder GFP. To demonstrate the utility of this method, we also produced the intrinsically disordered serine/arginine-rich region of the SARS-CoV-2 Nucleocapsid protein labeled with 15N and pSer at the key site S188 and observed the resulting peak shift due to phosphorylation by 2D and 3D heteronuclear single quantum correlation analyses. We propose this cost-effective methodology will pave the way for more routine access to pSer-enriched proteins for 2D and 3D NMR analyses.;arginine;phosphatase activity;-;LCR_with_function
9354618;Tertiary and quaternary structures of 0.19 alpha-amylase inhibitor from wheat kernel determined by X-ray analysis at 2.06 A resolution.;The crystal structure of 0.19 alpha-amylase inhibitor (0.19 AI) from wheat kernel was determined by the multiple-isomorphous replacement method coupled with density modification and noncrystallographic symmetry averaging and then refined by simulated annealing using diffraction data to 2.06 A resolution (R = 18.7%, free R = 22.3%). The asymmetric unit has four molecules of 0.19 AI, each comprised of 124 amino acid residues. Electron density for residues 1-4 and 69-77 is absent in all subunits, probably because of the intrinsic flexibility of these segments. Each subunit has four major alpha-helices and one one-turn helix which are arranged in the up-and-down manner, maintaining the favorable packing modes of the alpha-helices. 0.19 AI, however, has two short antiparallel beta-strands. All 10 cysteine residues in 0.19 AI form disulfide bonds (C6-C52, C20-C41, C28-C83, C42-C99, and C54-C115), consistent with the assignments made biochemically for 0.28 AI from wheat kernel and by NMR analysis of the bifunctional alpha-amylase/trypsin inhibitor from ragi seeds (RBI). The disulfide bond patterns in these AIs are similar to those in the hydrophobic protein from soybean (HPS), which lack only the bond corresponding to C28-C83 in 0.19 AI. Extensive interactions occurred between particular pairs of 0.19 AI subunits, mainly involving hydrophobic residues. Comparisons of the structures of 0.19 AI, RBI, and HPS showed that the arrangements of the major alpha-helices are similar but the conformations of the remaining residues differ markedly. The present X-ray analysis for 0.19 AI and the NMR analysis for RBI suggest that all the AIs in this family have a common fold. The alpha-amylase binding site is discussed on the basis of the tertiary and quaternary structures of 0.19 AI together with biochemical and spectroscopic data for AIs.;-;helix;-;hard_2
8645222;Transforming growth factor-beta type-II receptor signalling: intrinsic/associated casein kinase activity, receptor interactions and functional effects of blocking antibodies.;The transforming growth factor beta (TGF-beta) family of growth factors control proliferation, extracellular matrix synthesis and/ or differentiation in a wide variety of cells. However, the molecular mechanisms governing ligand binding, receptor oligomerization and signal transduction remain incompletely understood. In this study, we utilized a set of antibodies selective for the extracellular and intracellular domains of the TGF-beta type-II receptor as probes to investigate the intrinsic kinase activity of this receptor and its physical association in multimeric complexes with type-I and type-III receptors. The type-II receptor immuno-precipitated from human osteosarcoma cells exhibited autophosphorylation and casein kinase activity that was markedly stimulated by polylysine yet was insensitive to heparin. Affinity cross-linking of 125I-TGF-beta 1 ligand to cellular receptors followed by specific immunoprecipitation demonstrated that type-II receptors form stable complexes with both type-I and type-III receptors expressed on the surfaces of both human osteosarcoma cells and rabbit chondrocytes. Pretreatment of the cultured cells with an antibody directed against a distinct extracellular segment of the type-II receptor (anti-TGF-beta-IIR-NT) effectively blocked the 125I-TGF-beta labelling of type-I receptors without preventing the affinity labelling of type-II or type-III receptors, indicating a selective disruption of the type-I/type-II hetero-oligomers. The anti-TGF-beta-IIR-NT antibodies also blocked the TGF-beta-dependent induction of the plasminogen activator inhibitor (PAI-1) promoter observed in mink lung epithelial cells. However, the same anti-TGF-beta-IIR-NT antibodies did not prevent the characteristic inhibition of cellular proliferation by TGF-beta 1, as determined by [3H]thymidine incorporation into DNA. The selective perturbation of PAI-1 promoter induction versus cell-cycle-negative regulation suggests that strategic disruption of TGF-beta type-I and -II receptor interactions can effectively alter specific cellular responses to TGF-beta signalling. ;lysine;kinase activity;-;LCR_with_function
1436339;Fibrinolytic capacity in hemodialysis patients treated with recombinant human erythropoietin.;A major adverse effect of recombinant human erythropoietin (r-HuEPO) in hemodialyzed patients are thrombotic events. Several reports on platelet function during r-HuEPO treatment have been published but less is known about fibrinolysis. In the present study, the fibrinolytic capacity was studied in 20 patients on maintenance hemodialysis and treated with r-HuEPO. The patients were randomized into two groups and investigated in a crossover design. r-HuEPO was administered intravenously and subcutaneously in each group and was given for 3 months, respectively. Plasma tissue plasminogen activator (t-PA) and released t-PA remained unaffected by r-HuEPO in both groups throughout the study. Tissue plasminogen activator inhibitor (PAI) increased in a cyclic way reaching peak values 4-6 weeks after the start of investigation and again 4-6 weeks after changing therapy. The increase in PAI was significant in the two groups (0.025 > p > 0.01). Tissue plasminogen antigen was low in the uremic patients. The influence of r-HuEPO on this parameter was not investigated. Compensatory changes in plasma levels of factor XII procoagulant activity, activated protein C and of alpha 2-antiplasmin were not observed. Thrombotic events occurred in 4 patients at peak values of PAI. Six patients required an increase in heparin dose simultaneously with the increase in PAI. Thus, r-HuEPO seemed to affect the fibrinolytic capacity of uremic patients.;-;antigen;-;hard_2
2426185;Influenza nucleoprotein-specific cytotoxic T-cell clones are protective in vivo.;Influenza nucleoprotein (NP) serves as a target antigen on abortively infected cells for cytotoxic T cells (Tc) cross-reactive for all type A influenza viruses, and it can also prime mice for such Tc. It is important to test the protective ability of NP-specific Tc clones in vivo in a productive influenza infection. In this report, we show that Tc clones of this antigenic specificity protect mice against a lethal influenza infection on transfer to syngeneic recipients, and also that they reduce virus titres in the lungs and trachea of mice challenged with homologous or heterologous type A influenza viruses. Simultaneous injection of IL-2 to maintain the viability of the Tc clones is not essential, but has made the clonal transfer experiments highly reproducible.;-;antigen;-;hard_2
7750790;Inhibition by activated neutrophils of the Ca2+ pump ATPase of intact red blood cells.;Human neutrophils, activated by phorbol myristate acetate in the presence of intact red blood cells (RBCs), caused inhibition of the Ca2+ pump ATPase of the RBCs and fragmentation of the enzyme as well as other membrane proteins. Inhibition of the Ca2+ pump ATPase of intact RBCs was directly related to the neutrophil concentration and the time of incubation. Ca2+ pump ATPase activity was partially protected by the addition of exogenous glutathione-glutathione peroxidase, but not by superoxide dismutase. The addition of sodium azide, a potent inhibitor of endogenous RBC catalase, enhanced inhibition of the Ca2+ pump ATPase of intact RBCs. Examination by SDS-polyacrylamide gel electrophoresis of membrane proteins isolated from RBCs preincubated with activated neutrophils showed gross changes in banding patterns as compared to controls. Thus, a significant amount of methemoglobin appeared to be associated with the membrane proteins, and, in general, protein bands appeared to be more diffuse and less defined than proteins in control lanes. In addition, there was an increase in the low molecular weight protein bands. Using a monoclonal antibody to the Ca2+ pump ATPase, it was shown that the 140 kDa band representing the Ca2+ pump ATPase decreased, with concomitant appearance of two low molecular weight bands running at 8.2 and 6.8 kDa in the membrane proteins from RBCs preincubated with activated neutrophils. The data are interpreted to suggest that inhibition of the Ca2+ pump ATPase in intact RBCs under these conditions occurred as a result of: neutrophil-derived superoxide, dismutation of superoxide, to H2O2, diffusion of H2O2 into RBCs, a Fenton type reaction between oxyhemoglobin, and H2O2 producing hydroxyl radical and/or a ferryl radical capable of promoting protein fragmentation of RBC membrane proteins, including the plasma membrane Ca2+ pump ATPase.;-;-;polyacrylamide;hard_1
1741247;Molecular and functional analysis of the XPBC/ERCC-3 promoter: transcription activity is dependent on the integrity of an Sp1-binding site.;The human XPBC/ERCC-3 gene, which corrects the excision-repair defect in xeroderma pigmentosum group B cells and the UV-sensitive CHO mutant 27-1 cells, appears to be expressed constitutively in various cell types and tissues. We have analysed the structure and functionality of the XPBC/ERCC-3 promoter. Transcription of the XPBC/ERCC-3 gene is initiated from heterogeneous sites, with a major startpoint mapped at position -54 (relative to the translation start codon ATG). The promoter region does not possess classical TATA and CAAT elements, but it is GC-rich and contains three putative Sp1-binding sites. In addition, there are two elements related to the cyclic AMP (cAMP)-response element (CRE) and the 12-O-tetradecanoyl phorbol-13-acetate-response element (TRE) in the 5'-flanking region. Transient expression analysis of XPBC/ERCC-3 promoter-CAT chimeric plasmids revealed that a 127-bp fragment, spanning position -129 to -3, is minimally required for the promoter activity. Transcription of the XPBC/ERCC-3 promoter depends on the integrity of a putative Sp1-binding site in close proximity to the major cap site. Band shift assays showed that this putative Sp1-binding site can interact specifically with a nuclear factor, most likely transcription factor Sp1 (or an Sp1-like factor) in vitro.;cysteine;transcription factor;-;LCR_with_function
7852577;Comparison of Chlamydia pneumoniae isolates by western blot (immunoblot) analysis and DNA sequencing of the omp 2 gene.;The 60-kDa cysteine-rich outer membrane protein gene (omp 2) from nine Chlamydia pneumoniae isolates (TW-183, CM-1, CWL-050, CWL-011, IOL-207, FIL, Kajaani-6, Helsinki-12, and Parjaanonen) was amplified by PCR and sequenced from positions 1 to 580. In contrast to the sequence differences previously observed in this gene in other chlamydial species, all nine C. pneumoniae isolates were 100% identical. However, when sera from C. pneumoniae microimmunofluorescence-positive patients (with clinical signs of persistent cough or asthma) were immunoblotted against five C. pneumoniae isolates, distinct antigenic differences were observed. TW-183 was characterized by major bands at 35 and 43 kDa. In contrast, the other four isolates tested produced similar, though not identical, immunoblot profiles, characterized by strong bands at 18, 25, 29, 40, 46, and 53 kDa. These data support the fact that significant differences do exist between C. pneumoniae isolates, but unlike the case with other chlamydial species, these differences do not reside in either of the commonly studied outer membrane protein genes, omp 1 or omp 2.;cysteine;antigen;-;LCR_with_function
7494745;PROACTA: a way to study the tendency to occur (TTO) of patient behaviours.;Classical decision theory formulas have been combined with more recent theories from psycho-social origins (such as Rosenstock's health belief model, Fisbein's rational action theory, Bandura's concept of self-efficacy, Triandis' concern for the assessment of habits, etc.). A software, called PROACTA, enables simulations of actual cases. Currently, it is being tested in various backgrounds. It is orientated in order to help conceive intervening strategies, especially in the area of patient education. Examples of a case study are presented.;-;-;-;hard_0
9721093;Ocean climate change: comparison of acoustic tomography, satellite altimetry, and modeling;"Comparisons of gyre-scale acoustic and direct thermal measurements of heat content in the Pacific Ocean, satellite altimeter measurements of sea surface height, and results from a general circulation model show that only about half of the seasonal and year-to-year changes in sea level are attributable to thermal expansion. Interpreting climate change signals from fluctuations in sea level is therefore complicated. The annual cycle of heat flux is 150 +/- 25 watts per square meter (peak-to-peak, corresponding to a 0.2 degreesC vertically averaged temperature cycle); an interannual change of similar magnitude is also detected. Meteorological estimates of surface heat flux, if accurate, require a large seasonal cycle in the advective heat flux.";-;-;-;hard_0
3009861;Palindromic structure and polypeptide expression of 36 kilobase pairs of heterogeneous Epstein-Barr virus (P3HR-1) DNA.;Among the Epstein-Barr virions (EBV) produced by the P3HR-1 (HR-1) cell line are a defective subpopulation with rearranged viral DNA designated heterogeneous DNA (het DNA). These defective virions are responsible for the capacity of HR-1 virus to induce early antigen in Raji c cells and for trans activation of latent EBV in X50-7 cells. Virions with het DNA are independent replicons which pass horizontally from cell to cell rather than being partitioned vertically. We analyzed the structure and defined several polypeptide products of het DNA to understand these remarkable biologic properties. A 36-kilobase-pair (kbp) stretch of het DNA was cloned (as two EcoRI fragments of 20 and 16 kbp) from virions released from a cellular subclone of HR-1 cells. The unusual aspect of the 20-kbp fragment was the linkage of sequences of BamHI-M and BamHI-B', which are not adjacent on the standard EBV genome. The 16-kbp fragment was a palindrome in which at least two additional recombinations on each side of the palindrome had linked regions of the standard EBV genome which are not normally contiguous. The 20-kbp het DNA fragment was attached to at least one and possibly both ends of the 16-kbp het DNA fragment. We identified antigenic polypeptides produced in COS-1 cells after gene transfer of various cloned het DNA fragments. The 20-kbp fragment encoded a cytoplasmic antigen of about 95 kilodaltons (kDa). The 16-kbp fragment encoded antigens located in the nucleus, nuclear membrane, and cytoplasm. These were represented by several polypeptides, the most prominent of which were about 55, 52, and 36 kDa. The 36-kDa polypeptide was localized to a 2.7-kbp BamHI fragment which had homology to standard BamHI-W and BamHI-Z. Another polypeptide of 50 kDa found in the nucleus was mapped to the 7.1-kbp BamHI het DNA fragment which spans the EcoRI site linking the 20- and 16-kbp fragments of het DNA. Thus, HR-1 het DNA encodes several discrete polypeptide products, one or more of which could be responsible for the unusual biologic properties of the virus. The composition, regulation, and ultimately the expression of some of these products relative to standard EBV is probably altered by the genomic rearrangements of het DNA.;-;antigen;-;hard_2
25437750;Long Non-Coding RNA NEAT1 Associates with SRp40 to Temporally Regulate PPARγ2 Splicing during Adipogenesis in 3T3-L1 Cells.;Long non-coding (lnc) RNAs serve a multitude of functions in cells. NEAT1 RNA is a highly abundant 4 kb lncRNA in nuclei, and coincides with paraspeckles, nuclear domains that control sequestration of paraspeckle proteins. We examined NEAT1 RNA levels and its function in 3T3-L1 cells during differentiation to adipocytes. Levels of NEAT1 transcript, measured by RT-PCR, fluctuated in a temporal manner over the course of differentiation that suggested its role in alternative splicing of PPARγ mRNA, the major transcription factor driving adipogenesis. When cells were induced to differentiate by a media cocktail of insulin, dexamethasone, and isobutylmethyxanthine (IBMX) on Day 0, NEAT1 levels dropped on Day 4, when the PPARγ2 variant was spliced and when terminal differentiation occurs The appearance of PPARγ2 coordinates with the PPARγ1 variant to drive differentiation of adipocytes. SiRNA used to deplete NEAT1 resulted in the inability of cells to phosphorylate the serine/arginine-rich splicing protein, SRp40. SiRNA treatment for SRp40 resulted in dysregulation of PPARγ1 and, primarily, PPARγ2 mRNA levels. SRp40 associated with NEAT1, as shown by RNA-IP on days 0 and 8, but decreased on day 4, and concentrations increased over that of IgG control. Overexpression of SRp40 increased PPARγ2, but not γ1. Although lncRNA MALAT1 has been investigated in SR protein function, NEAT1 has not been shown to bind SR proteins for phosphorylation such that alternative splicing results. The ability of cells to increase phosphorylated SR proteins for PPARγ2 splicing suggests that fluxes in NEAT1 levels during adipogenesis regulate alternative splicing events.  ;arginine;transcription factor;-;LCR_with_function
25972551;Comparable Antigenicity and Immunogenicity of Oligomeric Forms of a Novel, Acute HIV-1 Subtype C gp145 Envelope for Use in Preclinical and Clinical Vaccine Research.;"Eliciting broadly reactive functional antibodies remains a challenge in human immunodeficiency virus type 1 (HIV-1) vaccine development that is complicated by variations in envelope (Env) subtype and structure. The majority of new global HIV-1 infections are subtype C, and novel antigenic properties have been described for subtype C Env proteins. Thus, an HIV-1 subtype C Env protein (CO6980v0c22) from an infected person in the acute phase (Fiebig stage I/II) was developed as a research reagent and candidate immunogen. The gp145 envelope is a novel immunogen with a fully intact membrane-proximal external region (MPER), extended by a polylysine tail. Soluble gp145 was enriched for trimers that yielded the expected ""fan blade"" motifs when visualized by cryoelectron microscopy. CO6980v0c22 gp145 reacts with the 4E10, PG9, PG16, and VRC01 HIV-1 neutralizing monoclonal antibodies (MAbs), as well as the V1/V2-specific PGT121, 697, 2158, and 2297 MAbs. Different gp145 oligomers were tested for immunogenicity in rabbits, and purified dimers, trimers, and larger multimers elicited similar levels of cross-subtype binding and neutralizing antibodies to tier 1 and some tier 2 viruses. Immunized rabbit sera did not neutralize the highly resistant CO6980v0c22 pseudovirus but did inhibit the homologous infectious molecular clone in a peripheral blood mononuclear cell (PBMC) assay. This Env is currently in good manufacturing practice (GMP) production to be made available for use as a clinical research tool and further evaluation as a candidate vaccine. At present, the product pipeline for HIV vaccines is insufficient and is limited by inadequate capacity to produce large quantities of vaccine to standards required for human clinical trials. Such products are required to evaluate critical questions of vaccine formulation, route, dosing, and schedule, as well as to establish vaccine efficacy. The gp145 Env protein presented in this study forms physical trimers, binds to many of the well-characterized broad neutralizing MAbs that target conserved Env epitopes, and induce cross-subtype neutralizing antibodies as measured in both cell line and primary cell assays. This subtype C Env gp145 protein is currently undergoing good manufacturing practice production for use as a reagent for preclinical studies and for human clinical research. This product will serve as a reagent for comparative studies and may represent a next-generation candidate HIV immunogen. ";lysine;antigen;-;LCR_with_function
504074;Zone precipitation chromatography: its use in the isolation of different collagen types.;Zone Precipitation Chromatography is a useful technique for the initial isolation of the different collagen types in their native configuration. Small quantities of collagen mixtures can be rapidly separated into different collagen types with a relatively high degree of purity, based upon stained protein patterns on sodium dodecyl sulfate polyacrylamide gel electrophoresis (SDS-PAGE) slab gels. In the commonly used bulk salt preparative method for isolating the different collagens, 50 mg of starting material was needed. Three days were required to complete the procedure. The stained protein patterns on SDS-PAGE slab gels showed about 25% contamination with the bulk purified Type III fraction and 20% contamination with the bulk purified type AB collagen. With Zone Precipitation Chromatography 5 mg of starting material was used and in less than 4 hours the mixture was separated with Types III and AB fractions showing less than 10% contamination from other collagen types. The technique is patterned after the Zone Precipitation method reported by Porath seventeen years ago and utilizes a step-wise sodium chloride gradient to precipitate and redissolve the collagens, eluting from the interbead spaces of a molecular sieve column.;-;-;polyacrylamide;hard_1
6439390;[Recovery of the in vitro reactivity of splenic cells of CBA/N mice toward type 2 thymus-independent antigens].;CBA/N mice bearing a chromosome X linked immunological deficiency (Xid) cannot respond to type 2 thymus independent antigens (TI-2). However, when their spleen cells are in vitro simultaneously stimulated by both a TI-2 (Fluorescein conjugated polyacrylamide, Flu-PAA) antigen and a type 1 thymus independent (Trinitrophenyl conjugated Brucella abortus, TNP-BA) antigen, their capacity to respond to the TI-2 antigen is recovered. On the contrary, thymus dependent (TD) Sheep red blood cells (SRBC) antigen did not produce any significant increase of the anti-TI-2 response.;-;antigen;polyacrylamide;hard_3
8025243;The Cu/Zn superoxide dismutase gene in ALS and parkinsonism-dementia of Guam.;Guam is one of three endemic foci whose indigenous (Chamorro) people have an unusually high incidence of fatal neurodegenerative disorders, amyotrophic lateral sclerosis (ALS) and Parkinsonism-dementia (PD). Recently, mutations in the Cu/Zn superoxide dismutase (SOD-1) gene have been identified in some familial cases of ALS. To investigate if mutations in the SOD-1 gene are also involved in the pathogenesis of ALS and PD of Guam, we analyzed the SOD-1 gene in Chamorros. No mutations were found in Chamorros with ALS or PD, indicating that mutations in the SOD-1 gene do not underlie the high-incidence neurodegenerative disorders of Guam.;-;-;-;hard_0
6746394;Serum thyroxine and triiodothyronine concentrations in canine pyoderma.;In an effort to evaluate the effect of pyoderma on circulating iodothyronines, plasma triiodothyronine (T3) and thyroxine (T4) values were determined before and after thyroid stimulating hormone administration in 25 dogs with pyoderma and in 15 controls. Basal T4 values were increased in dogs with pyoderma, but neither stimulated T4 nor T3 values were altered by this condition. On the basis of low values for circulating iodothyronines, hypothyroidism was suspected in 3 dogs in the pyoderma group. The dog with the most involved lesions had extremely low T3 and T4 values as well as an autoimmune disease. It was concluded that most dogs with pyoderma do not have thyroid dysfunction.;-;-;-;hard_0
8083903;Blunt traumatic thoracic aortic lacerations in the elderly: an analysis of outcome.;"We found no previous work examining outcome after blunt traumatic aortic laceration (TAL) that has focused on elderly patients (age > 55 years) with this lesion. A 20-year retrospective review from two trauma centers of survival outcome for patients with TAL was performed to assess the effects of surgical therapy in the elderly cohort. Seventy-five cases were identified. Patients were assigned to one of two groups (Young < 55 or Old > or = 55) and data were analyzed for differences between them. There was a significantly higher mortality rate in the elderly patients (82.4% Old vs. 12.1% Young; p < 0.001). Moreover, surgical treatment in the Old group had up to a 163-fold increased likelihood of mortality compared with surgical treatment in the Young group (p < 0.001). We conclude that Old patients have higher mortality associated with surgical repair of TAL. Because of the increased risk of surgical intervention for TAL, elderly patients may be candidates for nonsurgical management as has been advocated for patients with asymptomatic peripheral traumatic pseudoaneurysms.";-;-;-;hard_0
3955541;Updating lung cancer mortality among a cohort of man-made mineral fibre production workers in seven European countries.;A historical cohort of 21,967 workers ever employed in 13 European factories manufacturing various types of man-made mineral fibres (MMMF) was observed until 1982. Overall there were 2719 deaths (standardised mortality ratio (SMR) = 111) of which 189 were from lung cancer (SMR = 125). For the glasswool and rockwool/slagwool production subcohorts the lung cancer SMRs rose with time since first exposure, exceeding 170 for the period of 30 or more years. Adjustment for regional variations in mortality substantially reduced the excess in the glasswool group, but not in the rockwool/slagwool. In neither subgroup was there any relationship of lung cancer mortality with length of employment. During the early years of rockwool/slagwool production there was the potential for much higher fibrous dust exposure than at present, because of the absence of dust suppressing oil and/or the use of a batch production process. In addition slag was widely used as a raw material. Amongst workers employed during the early phase, there were 10 lung cancer deaths giving SMRs of 270 and 244 for the periods 20-29 and 30 or more years since first exposure. This group accounts for most of the absolute excess of lung cancer for the rockwool/slagwool plants.;-;-;-;hard_0
